id,entity_name,semantic_name
C0001074,Structure of achilles tendon,"Body Part, Organ, or Organ Component;"
C0001075,Achlorhydria,Pathologic Function;
C0001109,Acid Phosphatase,"Amino Acid, Peptide, or Protein;Enzyme;"
C0001117,Acid-Base Equilibrium,Physiologic Function;
C0001122,Acidosis,Pathologic Function;
C0001128,Acids,Chemical;
C0001139,Acinetobacter Infections,Disease or Syndrome;
C0001144,Acne Vulgaris,Disease or Syndrome;
C0001145,Acne Keloid,Disease or Syndrome;
C0001162,Acoustic Nerve,"Body Part, Organ, or Organ Component;"
C0001168,Complete obstruction,Acquired Abnormality;
C0001175,Acquired Immunodeficiency Syndrome,Disease or Syndrome;
C0001197,Acrodermatitis,Disease or Syndrome;
C0001206,Acromegaly,Disease or Syndrome;
C0001216,Acrosome,Cell Component;
C0001239,Actin-Binding Protein,"Amino Acid, Peptide, or Protein;Biologically Active Substance;"
C0001245,Actinin,"Amino Acid, Peptide, or Protein;Biologically Active Substance;"
C0001248,Actinobacillus,Bacterium;
C0001250,Actinomyces,Bacterium;
C0001252,Actinomyces israelii,Bacterium;
C0001255,Actinomycetales Infections,Disease or Syndrome;
C0001259,Actinomycin,"Amino Acid, Peptide, or Protein;Antibiotic;"
C0001261,Actinomycosis,Disease or Syndrome;
C0001264,Cervicofacial actinomycosis,Disease or Syndrome;
C0001271,Actins,"Amino Acid, Peptide, or Protein;Biologically Active Substance;"
C0001272,Action Potentials,Cell Function;
C0001275,activated charcoal,Organic Chemical;Pharmacologic Substance;
C0001280,Armed macrophage,Cell;
C0001289,Activity Cycles,Temporal Concept;
C0001304,Acute abscess,Disease or Syndrome;
C0001306,Acute alcoholic liver disease,Disease or Syndrome;
C0001314,Acute Disease,Disease or Syndrome;
C0001327,Acute laryngitis,Disease or Syndrome;
C0001339,"Pancreatitis, Acute",Disease or Syndrome;
C0001347,Acute-Phase Proteins,"Amino Acid, Peptide, or Protein;Biologically Active Substance;"
C0001349,Acute-Phase Reaction,Pathologic Function;
C0001361,Acute tonsillitis,Disease or Syndrome;
C0001363,Acute vascular insufficiency of intestine (disorder),Disease or Syndrome;
C0001367,acyclovir,"Nucleic Acid, Nucleoside, or Nucleotide;Pharmacologic Substance;"
C0001374,Acyl Coenzyme A,"Nucleic Acid, Nucleoside, or Nucleotide;Biologically Active Substance;"
C0001403,Addison Disease,Disease or Syndrome;
C0001406,Aden,Geographic Area;
C0001416,Adenitis,Sign or Symptom;
C0001418,Adenocarcinoma,Neoplastic Process;
C0001420,Papillary adenocarcinoma,Neoplastic Process;
C0001422,Adenofibroma,Neoplastic Process;
C0001428,Adenoidal structure,"Body Part, Organ, or Organ Component;"
C0001429,Adenolymphoma,Neoplastic Process;
C0001430,Adenoma,Neoplastic Process;
C0001432,"Adenoma, Chromophobe",Neoplastic Process;
C0001433,"Adenoma, Acidophil",Neoplastic Process;
C0001442,Adenosarcoma,Neoplastic Process;
C0001443,adenosine,"Nucleic Acid, Nucleoside, or Nucleotide;Pharmacologic Substance;Biologically Active Substance;"
C0001455,cyclic AMP,"Nucleic Acid, Nucleoside, or Nucleotide;Pharmacologic Substance;Biologically Active Substance;"
C0001457,ADENOSINE DEAMINASE,"Amino Acid, Peptide, or Protein;Enzyme;"
C0001473,Adenosine Triphosphatases,"Amino Acid, Peptide, or Protein;Enzyme;"
C0001476,Ca(2+)-Transporting ATPase,"Amino Acid, Peptide, or Protein;Enzyme;"
C0001479,Na(+)-K(+)-Exchanging ATPase,"Amino Acid, Peptide, or Protein;Enzyme;"
C0001480,adenosine triphosphate,"Nucleic Acid, Nucleoside, or Nucleotide;Pharmacologic Substance;Biologically Active Substance;"
C0001483,Adenoviruses,Virus;
C0001511,Tissue Adhesions,Pathologic Function;
C0001516,Adhesives,Manufactured Object;
C0001522,Adipic Acids,Organic Chemical;
C0001527,Adipose tissue,Tissue;
C0001529,Adiposis Dolorosa,Disease or Syndrome;
C0001551,Immunologic Adjuvants,Pharmacologic Substance;Immunologic Factor;
C0001554,Administration occupational activities,Occupational Activity;
C0001565,Sublingual Route of Drug Administration,Functional Concept;
C0001575,Uterine adnexae structure,"Body Part, Organ, or Organ Component;"
C0001577,Adnexitis,Disease or Syndrome;
C0001578,Adolescence,Temporal Concept;
C0001593,Adoption,Social Behavior;
C0001613,Adrenal Cortex,"Body Part, Organ, or Organ Component;"
C0001614,Adrenal Cortex Diseases,Disease or Syndrome;
C0001617,Adrenal Cortex Hormones,Organic Chemical;Pharmacologic Substance;Hormone;
C0001618,Adrenal Cortex Neoplasms,Neoplastic Process;
C0001621,Adrenal Gland Diseases,Disease or Syndrome;
C0001622,Adrenal Gland Hyperfunction,Disease or Syndrome;
C0001624,Adrenal Gland Neoplasms,Neoplastic Process;
C0001625,Adrenal Glands,"Body Part, Organ, or Organ Component;"
C0001627,Congenital adrenal hyperplasia,Disease or Syndrome;
C0001629,Adrenal Medulla,"Body Part, Organ, or Organ Component;"
C0001641,Adrenergic alpha-Antagonists,Pharmacologic Substance;
C0001643,beta-2 Adrenergic Receptors,"Amino Acid, Peptide, or Protein;Receptor;"
C0001645,Adrenergic beta-Antagonists,Pharmacologic Substance;
C0001646,Adrenergic Fibers,Tissue;
C0001655,corticotropin,"Amino Acid, Peptide, or Protein;Pharmacologic Substance;Hormone;"
C0001675,Adult,Age Group;
C0001688,aspects of adverse effects,Functional Concept;
C0001699,Klebsiella pneumoniae,Bacterium;
C0001713,Aerospace Medicine,Biomedical Occupation or Discipline;
C0001721,Affect (mental function),Mental Process;
C0001734,Aflatoxins,Organic Chemical;Hazardous or Poisonous Substance;
C0001737,Africa,Geographic Area;
C0001738,Sub-Saharan Africa (geographic location),Geographic Area;
C0001758,Aftercare,Health Care Activity;
C0001771,agar,"Organic Chemical;Pharmacologic Substance;Indicator, Reagent, or Diagnostic Aid;"
C0001774,Agaricales,Fungus;
C0001779,Age,Organism Attribute;
C0001792,Elderly (population group),Population Group;
C0001807,Aggressive behavior,Individual Behavior;
C0001811,Aging,Organism Function;
C0001815,Primary Myelofibrosis,Neoplastic Process;
C0001816,Agnosia,Mental or Behavioral Dysfunction;
C0001818,Agoraphobia,Mental or Behavioral Dysfunction;
C0001824,Agranulocytosis,Disease or Syndrome;
C0001849,AIDS Dementia Complex,Disease or Syndrome;
C0001857,AIDS related complex,Disease or Syndrome;
C0001861,Air (substance),Substance;
C0001863,Air bubble,Substance;
C0001864,Air Conditioning,Human-caused Phenomenon or Process;
C0001869,Air Pollutants,Hazardous or Poisonous Substance;
C0001873,Air Pollution,Environmental Effect of Humans;
C0001878,Air Sacs,"Body Part, Organ, or Organ Component;"
C0001884,Airway Resistance Test,Diagnostic Procedure;
C0001895,Alabama,Geographic Area;
C0001899,Alanine Transaminase,"Amino Acid, Peptide, or Protein;Enzyme;"
C0001905,Alaska,Geographic Area;
C0001924,Albumins,"Amino Acid, Peptide, or Protein;Biologically Active Substance;"
C0001925,Albuminuria,Finding;
C0001933,Alcian Blue,"Organic Chemical;Indicator, Reagent, or Diagnostic Aid;"
C0001942,Alcohol dehydrogenase,"Amino Acid, Peptide, or Protein;Enzyme;"
C0001948,Alcohol consumption,Individual Behavior;
C0001956,Alcohol Use Disorder,Mental or Behavioral Dysfunction;
C0001962,ethanol,Organic Chemical;Pharmacologic Substance;
C0001969,Alcoholic Intoxication,Mental or Behavioral Dysfunction;
C0001972,Alcoholics Anonymous,Self-help or Relief Organization;
C0001973,"Alcoholic Intoxication, Chronic",Mental or Behavioral Dysfunction;
C0001975,Alcohols,Organic Chemical;Pharmacologic Substance;
C0001992,Aldehydes,Organic Chemical;
C0002006,aldosterone,Organic Chemical;Pharmacologic Substance;Hormone;
C0002028,Algae,Eukaryote;
C0002037,Algeria,Geographic Area;
C0002045,algorithm,Intellectual Product;
C0002055,Alkalies,Inorganic Chemical;
C0002059,Alkaline Phosphatase,"Amino Acid, Peptide, or Protein;Enzyme;"
C0002066,Alkaptonuria,Disease or Syndrome;
C0002074,Alkylation,Natural Phenomenon or Process;
C0002084,Structure of allantois,Embryonic Structure;
C0002085,Alleles,Gene or Genome;
C0002092,Allergens,Immunologic Factor;
C0002098,Hypersensitivity granuloma,Disease or Syndrome;
C0002111,Allergy Specialty,Biomedical Occupation or Discipline;
C0002136,Allogenic disease,Disease or Syndrome;
C0002144,allopurinol,Organic Chemical;Pharmacologic Substance;
C0002154,Alloys,Inorganic Chemical;
C0002168,Aloe,Plant;
C0002170,Alopecia,Disease or Syndrome;
C0002173,"Mucinosis, Follicular",Disease or Syndrome;
C0002181,Syphilitic alopecia,Disease or Syndrome;
C0002182,Traumatic alopecia,Disease or Syndrome;
C0002191,alpha 1-antitrypsin,"Amino Acid, Peptide, or Protein;Pharmacologic Substance;Biologically Active Substance;"
C0002210,alpha-Fetoproteins,"Amino Acid, Peptide, or Protein;Biologically Active Substance;"
C0002211,Alpha-Globulins,"Amino Acid, Peptide, or Protein;Biologically Active Substance;"
C0002245,alpha-Amylases,"Amino Acid, Peptide, or Protein;Pharmacologic Substance;Enzyme;"
C0002312,alpha-Thalassemia,Disease or Syndrome;
C0002343,Alternaria <Pleosporaceae>,Fungus;
C0002367,aluminum,"Pharmacologic Substance;Element, Ion, or Isotope;"
C0002372,aluminum hydroxide gel,Pharmacologic Substance;Inorganic Chemical;
C0002374,aluminum oxide,Pharmacologic Substance;Inorganic Chemical;
C0002390,Extrinsic allergic alveolitis,Disease or Syndrome;
C0002395,Alzheimer's Disease,Disease or Syndrome;
C0002418,Amblyopia,Disease or Syndrome;
C0002424,Ambulatory Care Facilities,Manufactured Object;Health Care Related Organization;
C0002438,Amebiasis,Disease or Syndrome;
C0002448,Ameloblastoma,Neoplastic Process;
C0002449,Ameloblasts,Cell;
C0002451,Amelogenesis,Organ or Tissue Function;
C0002453,Amenorrhea,Finding;
C0002455,American Cancer Society,Professional Society;
C0002461,American Medical Association,Professional Society;
C0002499,amikacin,Organic Chemical;Antibiotic;
C0002505,Amination,Natural Phenomenon or Process;
C0002518,Amino Acid Sequence,Amino Acid Sequence;
C0002520,Amino Acids,"Amino Acid, Peptide, or Protein;Pharmacologic Substance;Biologically Active Substance;"
C0002553,Aminoethylphosphonic Acid,Organic Chemical;Biologically Active Substance;
C0002556,Aminoglycosides,Organic Chemical;Pharmacologic Substance;
C0002570,Aminopeptidase,"Amino Acid, Peptide, or Protein;Enzyme;"
C0002593,Aminotoluene,"Organic Chemical;Indicator, Reagent, or Diagnostic Aid;"
C0002594,Transaminases,"Amino Acid, Peptide, or Protein;Enzyme;"
C0002598,amiodarone,Organic Chemical;Pharmacologic Substance;
C0002607,ammonia,Pharmacologic Substance;Inorganic Chemical;
C0002622,Amnesia,Mental or Behavioral Dysfunction;
C0002630,Structure of amnion,Embryonic Structure;
C0002638,Amniotic Fluid,Body Substance;
C0002642,Genus Amoeba,Eukaryote;
C0002645,amoxicillin,Organic Chemical;Antibiotic;
C0002658,amphetamine,Organic Chemical;Pharmacologic Substance;
C0002668,Amphibians,Amphibian;
C0002679,amphotericin B,Organic Chemical;Antibiotic;
C0002684,Electronic Amplifiers,Manufactured Object;
C0002688,Amputation,Therapeutic or Preventive Procedure;
C0002690,Amputation Stumps,Acquired Abnormality;
C0002694,"Amputation, Traumatic",Injury or Poisoning;
C0002708,Amygdaloid structure,"Body Part, Organ, or Organ Component;"
C0002712,amylase,"Amino Acid, Peptide, or Protein;Pharmacologic Substance;Enzyme;"
C0002716,Amyloid,"Amino Acid, Peptide, or Protein;Biologically Active Substance;"
C0002722,Amyloid Protein AA,"Amino Acid, Peptide, or Protein;Biologically Active Substance;"
C0002723,Serum amyloid A protein,"Amino Acid, Peptide, or Protein;Immunologic Factor;"
C0002726,Amyloidosis,Disease or Syndrome;
C0002732,Amylose,Organic Chemical;
C0002736,Amyotrophic Lateral Sclerosis,Disease or Syndrome;
C0002757,Anal Gland Neoplasms,Neoplastic Process;
C0002759,Anal Sacs,"Body Part, Organ, or Organ Component;"
C0002760,Structure of sphincter ani muscle,"Body Part, Organ, or Organ Component;"
C0002763,Central Nervous System Stimulants,Pharmacologic Substance;
C0002771,Analgesics,Organic Chemical;Pharmacologic Substance;Hazardous or Poisonous Substance;
C0002772,"Analgesics, Opioid",Organic Chemical;Pharmacologic Substance;
C0002778,Analysis of substances,Laboratory Procedure;
C0002788,Mitotic Anaphase,Cell Function;
C0002792,anaphylaxis,Pathologic Function;
C0002793,Anaplasia,Neoplastic Process;
C0002794,Anaplasma,Bacterium;
C0002808,Science of Anatomy,Biomedical Occupation or Discipline;
C0002826,Necator americanus,Eukaryote;
C0002830,Ancylostomatoidea,Eukaryote;
C0002842,Androgen Antagonists,Pharmacologic Substance;
C0002843,Androgen-Binding Proteins,"Amino Acid, Peptide, or Protein;Biologically Active Substance;"
C0002844,Androgens,Pharmacologic Substance;Hormone;
C0002845,"Androgens, Synthetic",Pharmacologic Substance;Hormone;
C0002860,androstenedione,Organic Chemical;Pharmacologic Substance;Hormone;
C0002867,Anecdotes,Intellectual Product;
C0002871,Anemia,Disease or Syndrome;
C0002874,Aplastic Anemia,Disease or Syndrome;
C0002878,"Anemia, Hemolytic",Disease or Syndrome;
C0002884,Hypochromic anemia,Disease or Syndrome;
C0002886,"Anemia, Macrocytic",Disease or Syndrome;
C0002888,"Anemia, Megaloblastic",Disease or Syndrome;
C0002889,"Anemia, Microangiopathic",Disease or Syndrome;
C0002892,"Anemia, Pernicious",Disease or Syndrome;
C0002893,Refractory anemias,Disease or Syndrome;
C0002895,"Anemia, Sickle Cell",Disease or Syndrome;
C0002903,Anesthesia procedures,Therapeutic or Preventive Procedure;
C0002915,General Anesthesia,Therapeutic or Preventive Procedure;
C0002921,Local anesthesia,Therapeutic or Preventive Procedure;
C0002932,Anesthetics,Pharmacologic Substance;
C0002938,Aneuploidy,Cell or Molecular Dysfunction;
C0002940,Aneurysm,Pathologic Function;
C0002949,Arterial Dissection,Disease or Syndrome;
C0002957,Anger,Mental Process;
C0002959,Angiectasis,Disease or Syndrome;
C0002976,Angiogenesis Factor,Biologically Active Substance;
C0002978,angiogram,Diagnostic Procedure;
C0002985,Angiokeratoma,Neoplastic Process;
C0002986,Fabry Disease,Disease or Syndrome;
C0002989,Epithelioid hemangioma of skin,Neoplastic Process;
C0002991,Cutaneous Fibrous Histiocytoma,Neoplastic Process;
C0002992,Angiomatosis,Disease or Syndrome;
C0002994,Angioedema,Pathologic Function;
C0003006,Angiotensin I,"Amino Acid, Peptide, or Protein;Biologically Active Substance;"
C0003009,angiotensin II,"Amino Acid, Peptide, or Protein;Pharmacologic Substance;Biologically Active Substance;"
C0003016,angiotensinase,"Amino Acid, Peptide, or Protein;Enzyme;"
C0003017,Angiotensinogen,"Amino Acid, Peptide, or Protein;Biologically Active Substance;"
C0003018,Angiotensins,"Amino Acid, Peptide, or Protein;Pharmacologic Substance;Biologically Active Substance;"
C0003028,Anhidrosis,Disease or Syndrome;
C0003036,aniline,Organic Chemical;Hazardous or Poisonous Substance;
C0003055,Animal Organs,"Body Part, Organ, or Organ Component;"
C0003062,Animals,Animal;
C0003063,"Animals, Domestic",Animal;
C0003064,"Animals, Laboratory",Animal;
C0003070,"Animals, Wild",Animal;
C0003075,Anions,"Element, Ion, or Isotope;"
C0003086,Ankle,Body Location or Region;
C0003087,Ankle joint structure,Body Space or Junction;
C0003090,Ankylosis,Pathologic Function;
C0003123,Anorexia,Disease or Syndrome;
C0003126,Anosmia,Finding;
C0003128,Anovulation,Disease or Syndrome;
C0003130,Anoxia,Pathologic Function;
C0003146,Subfamily Antilopinae (organism),Mammal;
C0003151,Anterior chamber of eye structure,"Body Part, Organ, or Organ Component;"
C0003154,Anterior Horn Cells,Cell;
C0003164,Anthracosilicosis,Disease or Syndrome;
C0003165,Anthracosis,Disease or Syndrome;
C0003175,Anthrax disease,Disease or Syndrome;
C0003204,Anti-Infective Agents,Pharmacologic Substance;
C0003205,"Anti-Infective Agents, Local",Pharmacologic Substance;
C0003209,Anti-Inflammatory Agents,Pharmacologic Substance;
C0003211,"Anti-Inflammatory Agents, Non-Steroidal",Pharmacologic Substance;
C0003232,Antibiotics,Antibiotic;
C0003241,Antibodies,"Amino Acid, Peptide, or Protein;Pharmacologic Substance;Immunologic Factor;"
C0003243,"Antibodies, Antinuclear","Amino Acid, Peptide, or Protein;Immunologic Factor;"
C0003245,"Antibodies, Fungal","Amino Acid, Peptide, or Protein;Immunologic Factor;"
C0003250,Monoclonal Antibodies,"Amino Acid, Peptide, or Protein;Immunologic Factor;"
C0003253,"Antibodies, Viral","Amino Acid, Peptide, or Protein;Immunologic Factor;"
C0003272,Antibody-Dependent Cellular Cytotoxicity,Cell Function;
C0003273,Antibody-Producing Cells,Cell;
C0003280,Anticoagulants,Pharmacologic Substance;
C0003286,Anticonvulsants,Pharmacologic Substance;
C0003289,Antidepressive Agents,Pharmacologic Substance;
C0003295,Antidote,Pharmacologic Substance;
C0003304,Antifibrinolytic Agents,Pharmacologic Substance;
C0003308,Antifungal Agents,Pharmacologic Substance;
C0003313,Immune complex,"Amino Acid, Peptide, or Protein;Immunologic Factor;"
C0003314,Antigen-Antibody Reactions,Molecular Function;
C0003315,Antigen-Presenting Cells,Cell;
C0003316,Epitopes,Immunologic Factor;
C0003320,Antigens,Immunologic Factor;
C0003321,"Antigens, Bacterial",Immunologic Factor;
C0003323,CD4 Antigens,"Amino Acid, Peptide, or Protein;Immunologic Factor;Receptor;"
C0003339,Surface Antigens,Immunologic Factor;
C0003342,"Antigens, Viral",Immunologic Factor;
C0003364,Antihypertensive Agents,Pharmacologic Substance;
C0003374,Antimalarials,Pharmacologic Substance;
C0003376,Antimetabolites,Pharmacologic Substance;
C0003392,Antineoplastic Agents,Organic Chemical;Pharmacologic Substance;
C0003438,antithrombin III,"Amino Acid, Peptide, or Protein;Pharmacologic Substance;"
C0003442,"lymphocyte immune globulin, anti-thymocyte globulin","Amino Acid, Peptide, or Protein;Pharmacologic Substance;Immunologic Factor;"
C0003451,Antiviral Agents,Pharmacologic Substance;
C0003452,Antlers,"Body Part, Organ, or Organ Component;"
C0003455,Ants,Eukaryote;
C0003459,Anura,Amphibian;
C0003461,Anus,"Body Part, Organ, or Organ Component;"
C0003467,Anxiety,Mental or Behavioral Dysfunction;
C0003483,Aorta,"Body Part, Organ, or Organ Component;"
C0003484,Abdominal aorta structure,"Body Part, Organ, or Organ Component;"
C0003486,Aortic Aneurysm,Disease or Syndrome;
C0003489,Aortic arch structure,"Body Part, Organ, or Organ Component;"
C0003501,Aortic valve structure,"Body Part, Organ, or Organ Component;"
C0003504,Aortic Valve Insufficiency,Disease or Syndrome;
C0003507,Aortic Valve Stenosis,Pathologic Function;
C0003522,Apatites,Inorganic Chemical;
C0003584,Apocrine Glands,"Body Part, Organ, or Organ Component;"
C0003591,Apolipoproteins,"Amino Acid, Peptide, or Protein;Biologically Active Substance;"
C0003611,Appendectomy,Therapeutic or Preventive Procedure;
C0003614,Appendiceal Neoplasms,Neoplastic Process;
C0003615,Appendicitis,Disease or Syndrome;
C0003617,Appendix,"Body Part, Organ, or Organ Component;"
C0003618,Desire for food,Organism Function;
C0003625,Genus Malus,Plant;
C0003638,Apricot,Food;
C0003649,APUD Cells,Cell;
C0003704,Arachnida,Eukaryote;
C0003707,Arachnoid mater,"Body Part, Organ, or Organ Component;"
C0003725,Arboviruses,Virus;
C0003737,Architecture,Occupation or Discipline;
C0003738,archive,Manufactured Object;
C0003740,Arctic Regions,Geographic Area;
C0003762,ARGINASE,"Amino Acid, Peptide, or Protein;Enzyme;"
C0003765,arginine,"Amino Acid, Peptide, or Protein;Pharmacologic Substance;Biologically Active Substance;"
C0003781,argon,"Element, Ion, or Isotope;"
C0003782,Argyria,Injury or Poisoning;
C0003787,Arizona,Geographic Area;
C0003790,Arkansas,Geographic Area;
C0003798,Armenia,Geographic Area;
C0003803,Arnold Chiari Malformation,Congenital Abnormality;
C0003805,Aromatase,"Amino Acid, Peptide, or Protein;Enzyme;"
C0003810,Sertoli-Leydig cell tumor of ovary,Neoplastic Process;
C0003811,Cardiac Arrhythmia,Disease or Syndrome;
C0003818,arsenic,"Pharmacologic Substance;Hazardous or Poisonous Substance;Element, Ion, or Isotope;"
C0003826,Arts,Occupation or Discipline;
C0003834,Arterial insufficiency,Disease or Syndrome;
C0003835,Arterial Lines,Medical Device;
C0003842,Arteries,"Body Part, Organ, or Organ Component;"
C0003843,Arterio-Arterial Fistula,Anatomical Abnormality;
C0003847,Structure of arteriole,"Body Part, Organ, or Organ Component;"
C0003850,Arteriosclerosis,Disease or Syndrome;
C0003855,Arteriovenous fistula,Anatomical Abnormality;
C0003857,Congenital arteriovenous malformation,Congenital Abnormality;
C0003860,Arteritis,Pathologic Function;
C0003862,Arthralgia,Sign or Symptom;
C0003864,Arthritis,Disease or Syndrome;
C0003869,"Arthritis, Infectious",Disease or Syndrome;
C0003873,Rheumatoid Arthritis,Disease or Syndrome;
C0003903,Arthropods,Eukaryote;
C0003907,Arthus Reaction,Disease or Syndrome;
C0003910,Articulation Disorders,Mental or Behavioral Dysfunction;
C0003916,Artificial Intelligence,Occupation or Discipline;
C0003944,As If Personality,Mental or Behavioral Dysfunction;
C0003947,Asbestos,Hazardous or Poisonous Substance;Inorganic Chemical;
C0003948,Exposure to asbestos,Finding;
C0003949,Asbestosis,Disease or Syndrome;
C0003955,Ascaris lumbricoides,Eukaryote;
C0003956,Ascending aorta structure,"Body Part, Organ, or Organ Component;"
C0003960,Aschoff Bodies,Pathologic Function;
C0003962,Ascites,Disease or Syndrome;
C0003980,Asia,Geographic Area;
C0003983,"Asia, Southeastern",Geographic Area;
C0004002,Aspartate Transaminase,"Amino Acid, Peptide, or Protein;Enzyme;"
C0004015,aspartic acid,"Amino Acid, Peptide, or Protein;Biologically Active Substance;"
C0004030,Aspergillosis,Disease or Syndrome;
C0004031,"Aspergillosis, Allergic Bronchopulmonary",Disease or Syndrome;
C0004032,Disseminated aspergillosis,Disease or Syndrome;
C0004034,Aspergillus,Fungus;
C0004036,Aspergillus flavus,Fungus;
C0004037,Aspergillus fumigatus,Fungus;
C0004039,Aspergillus niger,Fungus;
C0004044,Asphyxia,Pathologic Function;
C0004045,Asphyxia Neonatorum,Disease or Syndrome;
C0004048,Inspiration function,Organism Function;
C0004056,Aspirations (Psychology),Mental Process;
C0004057,aspirin,Organic Chemical;Pharmacologic Substance;
C0004063,Assault,Injury or Poisoning;
C0004083,Mental association,Mental Process;
C0004095,Asthenopia,Sign or Symptom;
C0004096,Asthma,Disease or Syndrome;
C0004112,Astrocytes,Cell;
C0004114,Astrocytoma,Neoplastic Process;
C0004130,AT Rich Sequence,"Nucleic Acid, Nucleoside, or Nucleotide;Biologically Active Substance;"
C0004134,Ataxia,Sign or Symptom;
C0004135,Ataxia Telangiectasia,Disease or Syndrome;
C0004144,Atelectasis,Pathologic Function;
C0004170,Cervical Atlas,"Body Part, Organ, or Organ Component;"
C0004178,"Atmosphere, planetary",Natural Phenomenon or Process;
C0004238,Atrial Fibrillation,Disease or Syndrome;
C0004268,Attention,Mental Process;
C0004271,Attitude,Mental Process;
C0004277,Tooth Attrition,Finding;
C0004279,Atypical Bacterial Forms,Bacterium;
C0004309,Auditory Perception,Mental Process;
C0004339,Auscultation,Diagnostic Procedure;
C0004340,Australia,Geographic Area;
C0004352,Autistic Disorder,Mental or Behavioral Dysfunction;
C0004358,Autoantibodies,"Amino Acid, Peptide, or Protein;Immunologic Factor;"
C0004359,Autoantigens,Immunologic Factor;
C0004364,Autoimmune Diseases,Disease or Syndrome;
C0004372,Autolysis,Cell Function;
C0004376,Automation,Machine Activity;
C0004379,Automobile Driving,Daily or Recreational Activity;
C0004381,Automobiles,Manufactured Object;
C0004384,"Autonomic Fibers, Postganglionic","Body Part, Organ, or Organ Component;"
C0004388,Autonomic nervous system,Body System;
C0004398,Autopsy,Diagnostic Procedure;
C0004448,Awareness,Mental Process;
C0004454,Axilla,Body Location or Region;
C0004457,Axis vertebra,"Body Part, Organ, or Organ Component;"
C0004461,Axon,Cell Component;
C0004482,azathioprine,Organic Chemical;Pharmacologic Substance;Hazardous or Poisonous Substance;
C0004509,Azoospermia,Disease or Syndrome;
C0004561,B-Lymphocytes,Cell;
C0004574,Babesia microti,Eukaryote;
C0004587,Genus Bacillus,Bacterium;
C0004589,Bacillus anthracis,Bacterium;
C0004600,Back,Body Location or Region;
C0004604,Back Pain,Sign or Symptom;
C0004607,Background Radiation,Natural Phenomenon or Process;
C0004610,Bacteremia,Finding;
C0004611,Bacteria,Bacterium;
C0004623,Bacterial Infections,Disease or Syndrome;
C0004626,"Pneumonia, Bacterial",Disease or Syndrome;
C0004627,Bacterial Proteins,"Amino Acid, Peptide, or Protein;Biologically Active Substance;"
C0004630,Bacterial Toxins,"Amino Acid, Peptide, or Protein;Biologically Active Substance;Hazardous or Poisonous Substance;"
C0004634,Bacterial Warfare,Activity;
C0004690,Balanitis,Disease or Syndrome;
C0004704,Balloon Dilatation,Therapeutic or Preventive Procedure;
C0004716,Baltimore,Geographic Area;
C0004722,Banana,Food;
C0004741,Barbary Ape,Mammal;
C0004742,Barbering (occupation),Occupational Activity;
C0004760,Barotrauma,Injury or Poisoning;
C0004763,Barrett Esophagus,Disease or Syndrome;
C0004767,Cyst of Bartholin's gland duct,Disease or Syndrome;
C0004768,Bartholin Glands,"Body Part, Organ, or Organ Component;"
C0004770,Bartonella,Bacterium;
C0004771,Bartonella Infections,Disease or Syndrome;
C0004779,Basal Cell Nevus Syndrome,Neoplastic Process;
C0004781,Basal Ganglia,"Body Part, Organ, or Organ Component;"
C0004789,Structure of basal vein,"Body Part, Organ, or Organ Component;"
C0004792,Base Ratio,Quantitative Concept;
C0004793,Base Sequence,Nucleotide Sequence;
C0004799,Basement membrane,Tissue;
